SSN,First Name, Last Name, Contribution Percent, Acct_balance
"123-45-6789","Rajiv","Malhotra",34,12/01/2011,8.0,125000.00
"343-43-4232","John","Doe",56,02/01/1988,12.0,375000.00
"232-32-3232","Steve","Smith",42,12/01/2001,4.5,47257.25
"614-44-923x","Bob","Doe",34,01/01/2001,6.5,25000.20
"616-33-3458","Bob","Smith",23,14/01/2010,6.5,12500.00
"616-32-1234","Bill","Johnson",89,06/01/1955,1.0,125000.00
"712-32-1234","Kent","Johnson",49,06/01/1995,'X.0',125000.00
"910-32-1234","Eric","Hickman",39,06/01/2001,8.0,1250XY.00
"145-32-1234","Jud","Barr",22,06/01/2001,4.0,145000.00
"345-32-1234","Tony","Johnson",54,09/01/2012,6.0,725000.00
"567-32-1234","Kyle","Smith",45,03/01/2013,1.0,525000.00
